rule,type,coef,support,importance
feature_55 <= 144.8997039794922 & feature_64 > 7.5 & feature_64 <= 11.5 & charged> -0.4437200129032135 & feature_69 > 0.5 & feature_62 <= 0.24669822305440903,rule,-0.033902676768039895,0.02880658436213992,0.0056706486167079255
feature_62 <= 0.26028554141521454 & feature_62 <= 0.2776370942592621,rule,-0.30939853832996445,0.6748971193415638,0.14492638309816508
feature_67 <= 0.5 & core_HPMA> 2502.9550170898438 & feature_64 > 6.25 & core_PhA<= 10.019999980926514 & feature_70 <= 0.5,rule,0.27649011268214646,0.19753086419753085,0.11008071868146047
corona_GMA<= 3.0075000524520874 & feature_69 <= 0.5 & feature_55 > 142.81749725341797 & feature_62 > 0.044275688007473946 & core_MEMA> 17.21065044403076 & feature_70 <= 0.5,rule,1.7194783833064913,0.2139917695473251,0.7051943145196315
worm> 6.982500076293945 & feature_69 <= 0.5 & feature_63 <= 0.24243927747011185 & core_mw_total<= 0.6410000026226044,rule,0.01846703241059676,0.1646090534979424,0.006848080429649248
core_BzMA<= 0.26204000413417816 & feature_65 > 3.125 & feature_69 <= 0.5 & feature_70 > 0.5 & feature_61 <= 341.87249755859375,rule,-0.814133851342409,0.16872427983539096,0.3048998090536661
feature_64 > 12.75 & feature_62 <= 0.22576046735048294 & feature_63 > 0.07621344178915024,rule,0.7694558607571974,0.29218106995884774,0.34992166819606674
core_BzMA> -5.230000019073486 & feature_68 > 53.0 & feature_69 <= 0.5 & feature_63 <= 0.25945471227169037 & vesicle> 0.45232999324798584 & feature_62 <= 0.35711975395679474 & feature_63 > 0.13044602423906326 & core_HPMA> 3982.2750244140625 & feature_61 > 109.02000045776367,rule,1.2286157383966831,0.20987654320987653,0.5003172802672355
feature_61 <= 269.5874938964844 & feature_59 > 57.0 & feature_65 <= 4.25,rule,0.15085278167258423,0.0823045267489712,0.04145858530879164
feature_64 > 6.25,rule,-0.13103636391142906,0.9917695473251029,0.011838838032297959
feature_62 <= 0.27740293741226196 & feature_61 <= 1315.3499755859375 & dp_core> 1.8849999904632568 & corona_CysMA> 18.375,rule,0.531922759700557,0.25925925925925924,0.2331035173951867
feature_64 > 6.25 & core_HPMA> 3982.2750244140625 & core_HPMA<= 4808.7099609375 & feature_63 <= 0.3722815066576004,rule,0.8406705307186991,0.053497942386831275,0.18917125466178245
corona_QDMAEMA> 0.527999997138977 & core_MEMA> 25.373250007629395 & feature_61 > 271.36500549316406 & feature_62 <= 0.22958854585886002,rule,0.2638941251687548,0.34156378600823045,0.1251475886301895
feature_64 > 6.25 & feature_65 > 4.25 & feature_60 <= 35617.375,rule,-0.14781235162107445,0.448559670781893,0.07351400796393319
corona_GMA<= 3.0075000524520874 & core_BzMA<= 0.25 & corona_MPC<= 0.02249999949708581 & feature_64 > 6.25,rule,-0.11253916246893068,0.9382716049382716,0.027083853637573117
feature_69 <= 0.5 & feature_65 <= 3.8499999046325684 & feature_63 <= 0.3722815066576004,rule,0.6719015703523595,0.08641975308641975,0.18879283892366847
feature_64 <= 21.5,rule,-0.2985504312596613,0.9053497942386831,0.0873950203210124
core_HPMA> 5806.375,rule,-0.22203391039691645,0.7860082304526749,0.09106078492325977
feature_64 > 6.25 & feature_58 <= 46.54517364501953 & feature_69 > 0.5,rule,-1.8224820456748239,0.5308641975308642,0.9095032718703504
feature_68 > 53.0 & core_PhA<= 10.010000228881836 & feature_62 <= 0.2776370942592621,rule,0.27481875567403935,0.4074074074074074,0.1350326959886137
feature_62 <= 0.25093020498752594 & corona_QDMAEMA> 0.527999997138977 & core_BzMA<= 0.26204000413417816 & feature_59 <= 1160.0 & charged> -0.4437200129032135 & feature_60 <= 108060.0 & feature_68 > 65.0,rule,0.6175677437627187,0.2757201646090535,0.27597647673313325
feature_65 > 3.8499999046325684 & feature_64 <= 21.25,rule,-0.21400307861180434,0.7119341563786008,0.0969138438312622
feature_64 > 12.75 & feature_64 <= 16.100000381469727 & feature_61 > 266.4352569580078 & feature_64 > 7.5,rule,0.30749786308659527,0.08641975308641975,0.08640163544287506
feature_63 <= 0.24641400575637817 & feature_59 <= 1400.0 & mon_corona_mw<= 21.5 & feature_55 <= 144.21502685546875 & core_HBMA> 64.99999046325684,rule,0.11701703037482881,0.22633744855967078,0.048966951611544435
feature_69 <= 0.5 & worm> 6.25 & core_mw_total<= 0.6410000026226044 & feature_63 <= 0.25877024233341217 & feature_64 <= 12.5,rule,0.2301686720424758,0.07818930041152264,0.06179320883506818
feature_54 <= 1.1800000071525574 & feature_63 <= 0.24269799888134003 & core_HBMA> 60.35000038146973 & feature_60 <= 57932.169921875,rule,0.7625203232674578,0.26337448559670784,0.33586260506946525
feature_62 <= 0.37267646193504333 & charged> -0.4437200129032135 & core_HEMA<= 39.0 & feature_59 <= 90.0,rule,0.46233225260068384,0.03292181069958848,0.08249485094902861
feature_62 <= 0.2463279515504837 & feature_64 > 6.25 & feature_64 <= 12.75 & core_BzMA<= 0.25 & feature_54 <= 1.110099971294403,rule,-0.4378235037555535,0.17695473251028807,0.16708675482264337
feature_63 <= 0.25877024233341217 & core_HPMA> 8461.2001953125 & feature_60 <= 57932.169921875,rule,0.8421162886240373,0.1934156378600823,0.33261571075922836
feature_60 > 43780.015625 & feature_61 > 324.3975067138672 & core_HPMA> 2502.9550170898438,rule,-0.25197863372726015,0.26337448559670784,0.11098746848193547
feature_70 > 0.5 & sphere<= 4.272500038146973 & dp_corona<= 0.02800000086426735,rule,-0.005918799084999374,0.16872427983539096,0.002216638833857217
