,mean_train_hamming loss,std_train_hamming loss,mean_test_hamming loss,std_test_hamming loss,mean_train_error,std_train_error,mean_test_error,std_test_error,mean_train_log loss,std_train_log loss,mean_test_log loss,std_test_log loss
Lr,0.18326872747836606,0.007190755863365508,0.20153508771929823,0.04972952362318166,0.4749072832005049,0.02839776131818534,0.513421052631579,0.13164127380482143,2.0732051817661676,0.08517281344669822,2.159588500982564,0.3884948866694404
GAM,0.03843823702183995,0.003723919547147535,0.08499999999999999,0.043192352673231973,0.12760407077163174,0.012400426473679288,0.2646491228070176,0.12191299113019374,0.6315755590788061,0.0408201327635194,1.2780087209980517,0.6020322511699419
RuFit,0.010960857290652921,0.00238315417628525,0.0630921052631579,0.037164918868187215,0.03508684254364045,0.007634921335110178,0.18228070175438596,0.09362610948741906,0.2674260544675135,0.028054546153295893,0.9891790961633817,0.6608519399341204
RF,0.0002265040725251409,0.0003900598443573743,0.060438596491228076,0.035363668371080015,0.0004832013817652599,0.0008149974492055423,0.19263157894736846,0.09801351029039813,0.23767915521837446,0.004403675715200669,1.038603604163464,0.7093245798086539
