,mean_train_hamming loss,std_train_hamming loss,mean_test_hamming loss,std_test_hamming loss,mean_train_error,std_train_error,mean_test_error,std_test_error,mean_train_log loss,std_train_log loss,mean_test_log loss,std_test_log loss
Lr_pcc,0.18383562593087754,0.008625764468295485,0.1834003422173065,0.17833112503303378,0.4799468005360045,0.029754138693452708,0.4991499571856715,0.4541978308660785,2.0880941024385433,0.09601528629797851,2.6703348430278147,1.9910776485089452
GAM_pcc,0.03955169463314532,0.0029786514088979924,0.13433233433233432,0.17460946075852002,0.13020088370864624,0.00997667815049793,0.32782871890014753,0.3973056082316525,0.6250133421570683,0.04415728764845457,2.668733663078533,3.636574962770146
RuFit_pcc,0.010857539641908642,0.002179989104614449,0.1626521543932258,0.20239943036933356,0.03483639715089488,0.005772824732331599,0.35329655463584037,0.4140541857113116,0.2634142355897922,0.022423240910662733,2.316535863453604,3.4255462433013437
RF_pcc,9.40952733947545e-05,0.00027661452906535365,0.11256310653632082,0.18493514908132427,0.00018819054678951126,0.0005532290581307141,0.23669143356643357,0.3679984155028498,0.23338233198953093,0.003506873963025061,1.5043542351786408,1.7277744518523082
