,mean_train_hamming loss,std_train_hamming loss,mean_test_hamming loss,std_test_hamming loss,mean_train_error,std_train_error,mean_test_error,std_test_error,mean_train_log loss,std_train_log loss,mean_test_log loss,std_test_log loss
Lr_pcc,0.20268805147731855,0.01050929237491164,0.2151754385964913,0.05551911528705067,0.5563797459085417,0.043451381256302934,0.5882456140350877,0.14610675463114564,2.251544824534244,0.10084350308422224,2.3592902109929663,0.4143368260342053
GAM_pcc,0.017692683988495505,0.0033087031700352377,0.07491228070175439,0.032161860153160894,0.05917898273919218,0.011988660010965933,0.22833333333333342,0.09247058308946575,0.40394066261527384,0.04022523595885757,1.0936409611952267,0.49889697143698786
RuFit_pcc,0.01376120243921291,0.0020876762598421943,0.06675438596491227,0.033378356577405816,0.04496780125052376,0.005734236478941065,0.20754385964912284,0.09027275650533242,0.32312919932928974,0.010737419543033207,1.0470642851146372,0.4298017859362177
RF_pcc,1.4568764568764569e-05,7.979640989294383e-05,0.06546052631578948,0.026606128623541035,5.8275058275059075e-05,0.00031918563957177964,0.1992982456140351,0.0670244641258119,0.24323657454354436,0.003149565607086575,1.069052546821571,0.6856689339883236
