"","mean_train_accuracy","std_train_accuracy","mean_test_accuracy","std_test_accuracy","mean_train_logloss","std_train_logloss","mean_test_logloss","std_test_logloss"
"joint",0.638606669951078,0.00207329349226006,0.646817022263451,0.00178503567816752,1.05439007230948,0.0305003078215746,3.11465559996375,2.22833030931636
"sphere",0.858364021354035,0.00283301853020164,0.824914965986395,0.00158305184623579,0.351938545963638,0.0117272171990275,0.524477135706244,0.096370446842711
"vesicle",0.882097474784967,0.00423825931169747,0.886734693877551,0.0020579748348742,0.262497181359059,0.0191330389040442,0.966372449714356,0.414440613194933
"worm",0.81606889351321,0.00187945997486123,0.857169913419913,0.00186802951678042,0.403824587807311,0.00273215266028452,0.402728344125437,0.00830804170249828
"other",0.986701316266086,0.00130557935899455,0.964498299319728,0.00123582597769663,0.0361297571794719,0.00137402848855979,1.22107767041771,1.51534417449121
