,mean_train_accuracy,std_train_accuracy,mean_test_accuracy,std_test_accuracy,mean_train_log loss,std_train_log loss,mean_test_log loss,std_test_log loss,mean_train_size,std_train_size,mean_test_size,std_test_size,mean_train_error,std_train_error,mean_test_error,std_test_error
LR,0.3777168350126209,0.01138792694581731,0.4464459647495362,0.43879112734759546,2.9112272587652583,0.013010333075815917,3.59042749048665,3.0785633633892058,586.2142857142857,4.863752117047563,5.785714285714286,4.8637521170475635,0.6222831649873791,0.01138792694581731,0.5535540352504638,0.43879112734759546
Gam,0.638606669951078,0.0020732934922600603,0.6468170222634511,0.0017850356781675199,1.0543900723094801,0.0305003078215746,3.11465559996375,2.22833030931636,,,,,0.36139333004892205,0.0020732934922600603,0.35318297773654894,0.0017850356781675199
Rufit,0.9588759790824135,0.00507351044351174,0.61494086270872,0.42959170304215477,0.36758128543193047,0.008444304155627176,2.3462654795805595,2.6714465751746013,586.2142857142857,4.863752117047563,5.785714285714286,4.8637521170475635,0.04112402091758649,0.00507351044351174,0.38505913729128005,0.42959170304215477
Rf,0.9995725446780896,0.0007539609185170187,0.7590116728509585,0.3809176948664782,0.24220498517142378,0.004091847778773178,2.0695229742550505,4.0540207831472825,586.2142857142857,4.863752117047563,5.785714285714286,4.8637521170475635,0.00042745532191035274,0.0007539609185170187,0.2409883271490415,0.3809176948664782
