Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.99,0,0,0,0.01,0,1.1113,144.6201,22.80167186,1.188954,46.5907,404,58426.5204,480.337416,0.211176017,0.197404017,10,7,0,1,70,V-501,0,0,0,1,0
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.9875,0,0,0,0.0125,0,1.114125,144.755125,22.82021083,1.1899425,46.605875,405,58625.82563,481.9267125,0.2106093,0.196881188,10,7,0,1,70,V-501,0,0,0,1,0
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.985,0,0,0,0.015,0,1.11695,144.89015,22.83874979,1.190931,46.62105,406,58825.4009,483.517986,0.210044855,0.196360476,10,7,0,1,70,V-501,0,0,0,1,0
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.995,0,0,0,0.005,0,1.10565,144.35005,22.76459393,1.186977,46.56035,402,58028.7201,477.164754,0.212316316,0.198456073,5,7,0,1,70,V-501,1,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.9875,0,0,0,0.0125,0,1.114125,144.755125,22.82021083,1.1899425,46.605875,405,58625.82563,481.9267125,0.2106093,0.196881188,5,7,0,1,70,V-501,0,0,0,1,0
22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.27,295.12,23.529516,2.2291,66.76,53,15641.36,118.1423,0,0,0,0,0,0,0.985,0,0,0,0.015,0,1.11695,144.89015,22.83874979,1.190931,46.62105,406,58825.4009,483.517986,0.210044855,0.196360476,5,7,0,1,70,V-501,0,0,0,1,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,100,14407.5,118.5,0.39998001,0.386398235,10,7,0,1,70,ACVA,1,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,150,21611.25,177.75,0.307674565,0.295682564,10,7,0,1,70,ACVA,1,1,0,0,1
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,200,28815,237,0.249984383,0.239463196,10,7,0,1,70,ACVA,1,1,0,0,1
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,250,36018.75,296.25,0.210512472,0.201206885,10,7,0,1,70,ACVA,0,0,1,0,0
